region,piso_asignado,distrito,cultivo,anio,mes_num,mes_nombre,produccion_mensual,t2m,t2m_max,t2m_min,prectotcorr,rh2m,allsky_sfc_sw_dwn,ws2m,ps,gwetroot,ts,t2mdew,qv2m
Ica,costa,Chincha Alta,aceituna,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,aji,2020,1,Enero,635.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,ajo,2020,1,Enero,12.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,alcachofa,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,alfalfa,2020,1,Enero,10684.89,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,algodon_rama,2020,1,Enero,1432.7899999999995,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,arandano,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,arroz_cascara,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,camote,2020,1,Enero,1051.4,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,cana_para_azucar,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,cebolla,2020,1,Enero,11774.5,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,esparrago,2020,1,Enero,14799.6,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,maiz_amarillo_duro,2020,1,Enero,9000.189999999999,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,maiz_chala,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,mandarina,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,mango,2020,1,Enero,1266.5600000000002,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,naranja,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,pallar_grano_seco,2020,1,Enero,23.45,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,palta,2020,1,Enero,7.1,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,papaya,2020,1,Enero,13.7,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,paprika,2020,1,Enero,146.7,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,pimiento,2020,1,Enero,44.18,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,piquillo,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,platano,2020,1,Enero,215.5,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,tomate,2020,1,Enero,25123.8,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,tuna,2020,1,Enero,383.299,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,uva,2020,1,Enero,105129.7,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,yuca,2020,1,Enero,155.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,zanahoria,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,zapallo,2020,1,Enero,1241.4,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Chincha Alta,aceituna,2020,2,Febrero,0.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,aji,2020,2,Febrero,236.29999999999995,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,ajo,2020,2,Febrero,10.1,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,alcachofa,2020,2,Febrero,0.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,alfalfa,2020,2,Febrero,11343.11,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,algodon_rama,2020,2,Febrero,505.7000000000001,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,arandano,2020,2,Febrero,0.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,arroz_cascara,2020,2,Febrero,0.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,camote,2020,2,Febrero,1943.8,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,cana_para_azucar,2020,2,Febrero,0.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,cebolla,2020,2,Febrero,2480.6000000000004,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,esparrago,2020,2,Febrero,15070.67,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,maiz_amarillo_duro,2020,2,Febrero,12378.100000000002,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,maiz_chala,2020,2,Febrero,0.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,mandarina,2020,2,Febrero,320.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,mango,2020,2,Febrero,4833.407999999999,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,naranja,2020,2,Febrero,0.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,pallar_grano_seco,2020,2,Febrero,30.95,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,palta,2020,2,Febrero,133.10000000000002,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,papaya,2020,2,Febrero,28.8,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,paprika,2020,2,Febrero,238.85,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,pimiento,2020,2,Febrero,0.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,piquillo,2020,2,Febrero,0.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,platano,2020,2,Febrero,218.7,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,tomate,2020,2,Febrero,9841.000000000004,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,tuna,2020,2,Febrero,429.65,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,uva,2020,2,Febrero,66670.01,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,yuca,2020,2,Febrero,480.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,zanahoria,2020,2,Febrero,0.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,zapallo,2020,2,Febrero,613.5,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Chincha Alta,aceituna,2020,3,Marzo,1586.65,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,aji,2020,3,Marzo,367.8,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,ajo,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,alcachofa,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,alfalfa,2020,3,Marzo,10925.32,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,algodon_rama,2020,3,Marzo,2198.23,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,arandano,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,arroz_cascara,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,camote,2020,3,Marzo,1467.3000000000002,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,cana_para_azucar,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,cebolla,2020,3,Marzo,839.5,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,esparrago,2020,3,Marzo,14653.399999999998,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,maiz_amarillo_duro,2020,3,Marzo,8992.650000000001,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,maiz_chala,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,mandarina,2020,3,Marzo,12535.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,mango,2020,3,Marzo,1679.2889999999998,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,naranja,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,pallar_grano_seco,2020,3,Marzo,16.000000000000007,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,palta,2020,3,Marzo,6100.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,papaya,2020,3,Marzo,19.4,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,paprika,2020,3,Marzo,238.65,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,pimiento,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,piquillo,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,platano,2020,3,Marzo,235.50000000000009,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,tomate,2020,3,Marzo,7764.300000000003,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,tuna,2020,3,Marzo,114.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,uva,2020,3,Marzo,35329.05000000002,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,yuca,2020,3,Marzo,501.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,zanahoria,2020,3,Marzo,142.8,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,zapallo,2020,3,Marzo,299.64999999999964,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,aceituna,2020,4,Abril,2891.8,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
